GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Location,0,12,0,0,0,5,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Warehouse,45,0,0,0,19,0,13,0,13,0
java-code-assignment,com.fulfilment.application.monolith.fulfillment.dao,FulfillmentRepo,56,0,0,0,10,0,6,0,6,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ArchiveWarehouseUseCase,11,0,0,0,5,0,2,0,2,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,CreateWarehouseUseCase,50,0,10,0,11,0,7,0,2,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ReplaceWarehouseUseCase,30,0,4,0,7,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.fulfillment.dao.entity,FulfillmentAssignment,28,3,0,0,6,1,2,1,2,1
java-code-assignment,com.warehouse.api.beans,Fullfilment,24,0,0,0,10,0,7,0,7,0
java-code-assignment,com.warehouse.api.beans,Warehouse,38,0,0,0,16,0,11,0,11,0
java-code-assignment,com.fulfilment.application.monolith.fulfillment.controller,FulfillmentController,0,25,0,0,0,6,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.fulfillment.service,FulFillmentServiceImpl,102,3,6,0,15,1,9,1,6,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource.ErrorMapper,0,48,1,3,0,11,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.products,ProductRepository,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,Product,6,3,0,0,3,1,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource,0,119,0,10,0,27,0,12,0,7
java-code-assignment,com.fulfilment.application.monolith.location,LocationGateway,0,97,0,0,0,13,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouse,116,3,0,0,38,1,17,1,17,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,WarehouseRepository,92,0,0,0,18,0,8,0,8,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.new Synchronization() {...},20,0,2,0,5,0,4,0,3,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource,149,0,18,0,37,0,17,0,8,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.ErrorMapper,48,0,4,0,11,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.stores,LegacyStoreManagerGateway,59,0,0,0,18,0,4,0,4,0
java-code-assignment,com.fulfilment.application.monolith.stores,Store,6,3,0,0,3,1,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl,63,0,2,0,17,0,8,0,7,0
java-code-assignment,com.fulfilment.application.monolith.fulfillment.model,Fulfillment,21,12,0,0,9,5,6,1,6,1
